,symbol,metric,value
3798,J,PE Ratio (TTM),43.64
3799,J,EPS (TTM),3.20
3800,J,Earnings Date,"Feb 07, 2022 - Feb 11, 2022"
3801,J,Forward Dividend & Yield,0.84 (0.61%)
3802,J,Ex-Dividend Date,"Oct 14, 2021"
3803,J,1y Target Est,161.69
3804,JBHT,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
3805,SJM,Previous Close,143.28
3806,SJM,Open,143.73
3807,SJM,Bid,0.00 x 1200
3808,SJM,Ask,0.00 x 800
3809,SJM,Day's Range,139.47 - 143.73
3810,SJM,52 Week Range,110.53 - 144.89
3811,SJM,Volume,"517,677"
3812,SJM,Avg. Volume,"732,230"
3813,SJM,Market Cap,15.399B
3814,SJM,Beta (5Y Monthly),0.33
3815,SJM,PE Ratio (TTM),20.28
3816,SJM,EPS (TTM),7.01
3817,SJM,Earnings Date,"Mar 01, 2022"
3818,SJM,Forward Dividend & Yield,3.96 (2.76%)
3819,SJM,Ex-Dividend Date,"Nov 10, 2021"
3820,SJM,1y Target Est,132.21
3821,JNJ,Previous Close,169.79
3822,JNJ,Open,169.00
3823,JNJ,Bid,168.45 x 900
3824,JNJ,Ask,170.00 x 900
3825,JNJ,Day's Range,168.46 - 170.40
3826,JNJ,52 Week Range,151.47 - 179.92
3827,JNJ,Volume,"5,856,533"
3828,JNJ,Avg. Volume,"7,456,938"
3829,JNJ,Market Cap,444.278B
3830,JNJ,Beta (5Y Monthly),0.74
3831,JNJ,PE Ratio (TTM),25.22
3832,JNJ,EPS (TTM),6.69
3833,JNJ,Earnings Date,"Jan 25, 2022"
3834,JNJ,Forward Dividend & Yield,4.24 (2.50%)
3835,JNJ,Ex-Dividend Date,"Feb 18, 2022"
3836,JNJ,1y Target Est,186.44
3837,JCI,Previous Close,80.03
3838,JCI,Open,79.77
3839,JCI,Bid,78.01 x 800
3840,JCI,Ask,78.83 x 1100
3841,JCI,Day's Range,78.14 - 80.46
3842,JCI,52 Week Range,48.11 - 81.77
3843,JCI,Volume,"2,589,295"
3844,JCI,Avg. Volume,"3,076,331"
3845,JCI,Market Cap,55.241B
3846,JCI,Beta (5Y Monthly),1.11
3847,JCI,PE Ratio (TTM),34.52
3848,JCI,EPS (TTM),2.27
3849,JCI,Earnings Date,"Feb 02, 2022"
3850,JCI,Forward Dividend & Yield,1.36 (1.70%)
3851,JCI,Ex-Dividend Date,"Dec 17, 2021"
3852,JCI,1y Target Est,N/A
3853,JPM,Previous Close,168.44
3854,JPM,Open,168.34
3855,JPM,Bid,168.16 x 900
3856,JPM,Ask,169.05 x 1100
3857,JPM,Day's Range,167.91 - 169.81
3858,JPM,52 Week Range,127.35 - 172.96
3859,JPM,Volume,"13,224,151"
3860,JPM,Avg. Volume,"10,961,215"
3861,JPM,Market Cap,497.165B
3862,JPM,Beta (5Y Monthly),1.12
3863,JPM,PE Ratio (TTM),10.64
3864,JPM,EPS (TTM),15.81
3865,JPM,Earnings Date,"Jan 14, 2022"
3866,JPM,Forward Dividend & Yield,4.00 (2.39%)
3867,JPM,Ex-Dividend Date,"Jan 05, 2022"
3868,JPM,1y Target Est,181.07
3869,JNPR,Previous Close,34.88
3870,JNPR,Open,34.92
3871,JNPR,Bid,34.77 x 900
3872,JNPR,Ask,34.97 x 1300
3873,JNPR,Day's Range,34.60 - 35.09
3874,JNPR,52 Week Range,23.12 - 36.03
3875,JNPR,Volume,"4,208,569"
3876,JNPR,Avg. Volume,"3,523,309"
3877,JNPR,Market Cap,11.339B
3878,JNPR,Beta (5Y Monthly),0.90
3879,JNPR,PE Ratio (TTM),77.49
3880,JNPR,EPS (TTM),0.45
3881,JNPR,Earnings Date,"Jan 27, 2022"
3882,JNPR,Forward Dividend & Yield,0.80 (2.29%)
3883,JNPR,Ex-Dividend Date,"Nov 30, 2021"
3884,JNPR,1y Target Est,31.06
3885,K,Previous Close,64.68
3886,K,Open,64.69
3887,K,Bid,65.47 x 1800
3888,K,Ask,65.47 x 800
3889,K,Day's Range,64.67 - 66.11
3890,K,52 Week Range,56.61 - 68.60
3891,K,Volume,"2,139,400"
3892,K,Avg. Volume,"1,995,852"
3893,K,Market Cap,22.279B
3894,K,Beta (5Y Monthly),0.59
3895,K,PE Ratio (TTM),17.81
3896,K,EPS (TTM),3.67
3897,K,Earnings Date,"Feb 09, 2022 - Feb 14, 2022"
3898,K,Forward Dividend & Yield,2.32 (3.59%)
3899,K,Ex-Dividend Date,"Nov 30, 2021"
3900,K,1y Target Est,67.65
3901,KEY,Previous Close,26.35
3902,KEY,Open,26.65
3903,KEY,Bid,26.27 x 900
3904,KEY,Ask,26.12 x 3100
3905,KEY,Day's Range,25.94 - 26.74
3906,KEY,52 Week Range,16.69 - 26.74
3907,KEY,Volume,"9,607,439"
3908,KEY,Avg. Volume,"7,242,482"
3909,KEY,Market Cap,24.515B
3910,KEY,Beta (5Y Monthly),1.47
3911,KEY,PE Ratio (TTM),10.26
3912,KEY,EPS (TTM),2.57
3913,KEY,Earnings Date,"Jan 20, 2022"
3914,KEY,Forward Dividend & Yield,0.78 (2.96%)
3915,KEY,Ex-Dividend Date,"Nov 29, 2021"
3916,KEY,1y Target Est,26.11
3917,KEYS,Previous Close,190.40
3918,KEYS,Open,190.40
3919,KEYS,Bid,182.00 x 800
3920,KEYS,Ask,186.40 x 1000
3921,KEYS,Day's Range,186.22 - 191.78
3922,KEYS,52 Week Range,129.09 - 209.08
3923,KEYS,Volume,"1,174,554"
3924,KEYS,Avg. Volume,"948,484"
3925,KEYS,Market Cap,34.157B
3926,KEYS,Beta (5Y Monthly),0.96
3927,KEYS,PE Ratio (TTM),39.04
3928,KEYS,EPS (TTM),4.78
3929,KEYS,Earnings Date,"Feb 16, 2022 - Feb 21, 2022"
3930,KEYS,Forward Dividend & Yield,N/A (N/A)
3931,KEYS,Ex-Dividend Date,N/A
3932,KEYS,1y Target Est,207.93
3933,KMB,Previous Close,143.09
3934,KMB,Open,142.95
3935,KMB,Bid,140.81 x 1200
3936,KMB,Ask,142.85 x 1800
3937,KMB,Day's Range,141.74 - 143.49
3938,KMB,52 Week Range,125.27 - 145.79
3939,KMB,Volume,"1,264,215"
3940,KMB,Avg. Volume,"1,694,241"
3941,KMB,Market Cap,48.113B
3942,KMB,Beta (5Y Monthly),0.52
3943,KMB,PE Ratio (TTM),24.29
3944,KMB,EPS (TTM),5.88
3945,KMB,Earnings Date,"Jan 26, 2022"
3946,KMB,Forward Dividend & Yield,4.56 (3.19%)
3947,KMB,Ex-Dividend Date,"Dec 09, 2021"
3948,KMB,1y Target Est,134.96
3949,KIM,Previous Close,24.92
3950,KIM,Open,24.90
3951,KIM,Bid,20.03 x 1800
3952,KIM,Ask,25.00 x 1400
3953,KIM,Day's Range,24.71 - 25.02
3954,KIM,52 Week Range,15.14 - 25.57
3955,KIM,Volume,"4,477,149"
3956,KIM,Avg. Volume,"3,785,242"
3957,KIM,Market Cap,15.257B
3958,KIM,Beta (5Y Monthly),1.52
3959,KIM,PE Ratio (TTM),12.26
3960,KIM,EPS (TTM),2.02
3961,KIM,Earnings Date,"Feb 10, 2022"
3962,KIM,Forward Dividend & Yield,0.68 (2.75%)
3963,KIM,Ex-Dividend Date,"Dec 08, 2021"
3964,KIM,1y Target Est,26.05
3965,KMI,Previous Close,17.65
3966,KMI,Open,17.65
3967,KMI,Bid,17.55 x 1400
3968,KMI,Ask,17.57 x 3000
3969,KMI,Day's Range,17.50 - 17.84
3970,KMI,52 Week Range,13.75 - 19.29
3971,KMI,Volume,"14,794,669"
3972,KMI,Avg. Volume,"15,248,042"
3973,KMI,Market Cap,39.839B
3974,KMI,Beta (5Y Monthly),1.01
3975,KMI,PE Ratio (TTM),22.88
3976,KMI,EPS (TTM),0.77
3977,KMI,Earnings Date,"Jan 19, 2022"
3978,KMI,Forward Dividend & Yield,1.08 (6.13%)
3979,KMI,Ex-Dividend Date,"Oct 29, 2021"
3980,KMI,1y Target Est,18.93
3981,KLAC,Previous Close,432.22
3982,KLAC,Open,429.81
3983,KLAC,Bid,416.01 x 800
3984,KLAC,Ask,417.90 x 1100
3985,KLAC,Day's Range,416.27 - 435.38
3986,KLAC,52 Week Range,273.24 - 442.44
3987,KLAC,Volume,"1,155,021"
3988,KLAC,Avg. Volume,"1,202,374"
3989,KLAC,Market Cap,63.213B
3990,KLAC,Beta (5Y Monthly),1.20
3991,KLAC,PE Ratio (TTM),23.66
3992,KLAC,EPS (TTM),17.62
3993,KLAC,Earnings Date,"Jan 27, 2022"
3994,KLAC,Forward Dividend & Yield,4.20 (1.01%)
3995,KLAC,Ex-Dividend Date,"Nov 12, 2021"
3996,KLAC,1y Target Est,438.57
3997,KHC,Previous Close,37.30
3998,KHC,Open,37.25
3999,KHC,Bid,37.65 x 1100
4000,KHC,Ask,37.88 x 2200
4001,KHC,Day's Range,37.22 - 37.85
4002,KHC,52 Week Range,31.60 - 44.95
4003,KHC,Volume,"5,358,146"
4004,KHC,Avg. Volume,"7,102,134"
4005,KHC,Market Cap,46.085B
4006,KHC,Beta (5Y Monthly),1.09
4007,KHC,PE Ratio (TTM),20.26
4008,KHC,EPS (TTM),1.86
4009,KHC,Earnings Date,"Feb 09, 2022 - Feb 14, 2022"
4010,KHC,Forward Dividend & Yield,1.60 (4.26%)
4011,KHC,Ex-Dividend Date,"Nov 24, 2021"
4012,KHC,1y Target Est,39.98
4013,KR,Previous Close,47.14
4014,KR,Open,47.26
4015,KR,Bid,49.41 x 1100
4016,KR,Ask,49.77 x 2900
4017,KR,Day's Range,47.15 - 50.15
4018,KR,52 Week Range,31.92 - 50.15
4019,KR,Volume,"12,506,960"
4020,KR,Avg. Volume,"7,361,241"
4021,KR,Market Cap,36.38B
4022,KR,Beta (5Y Monthly),0.44
4023,KR,PE Ratio (TTM),37.34
4024,KR,EPS (TTM),1.33
4025,KR,Earnings Date,"Mar 02, 2022 - Mar 07, 2022"
4026,KR,Forward Dividend & Yield,0.84 (1.78%)
4027,KR,Ex-Dividend Date,"Nov 12, 2021"
4028,KR,1y Target Est,45.27
4029,LHX,Previous Close,220.09
4030,LHX,Open,220.45
4031,LHX,Bid,218.01 x 2200
4032,LHX,Ask,222.18 x 1300
4033,LHX,Day's Range,219.88 - 223.25
4034,LHX,52 Week Range,168.70 - 246.08
4035,LHX,Volume,"1,239,799"
4036,LHX,Avg. Volume,"1,224,893"
4037,LHX,Market Cap,43.68B
4038,LHX,Beta (5Y Monthly),0.87
4039,LHX,PE Ratio (TTM),29.62
4040,LHX,EPS (TTM),7.51
4041,LHX,Earnings Date,"Jan 31, 2022"
4042,LHX,Forward Dividend & Yield,4.08 (1.85%)
4043,LHX,Ex-Dividend Date,"Nov 18, 2021"
4044,LHX,1y Target Est,N/A
4045,LH,Previous Close,282.79
4046,LH,Open,281.98
4047,LH,Bid,276.41 x 800
4048,LH,Ask,289.70 x 1100
4049,LH,Day's Range,275.37 - 282.20
4050,LH,52 Week Range,212.85 - 317.17
4051,LH,Volume,"878,235"
4052,LH,Avg. Volume,"739,557"
4053,LH,Market Cap,26.586B
4054,LH,Beta (5Y Monthly),1.03
4055,LH,PE Ratio (TTM),9.86
4056,LH,EPS (TTM),28.19
4057,LH,Earnings Date,"Feb 10, 2022"
4058,LH,Forward Dividend & Yield,N/A (N/A)
4059,LH,Ex-Dividend Date,"Mar 29, 1994"
4060,LH,1y Target Est,341.71
4061,LRCX,Previous Close,686.32
4062,LRCX,Open,705.00
4063,LRCX,Bid,686.10 x 1200
4064,LRCX,Ask,688.00 x 900
4065,LRCX,Day's Range,683.33 - 730.66
4066,LRCX,52 Week Range,481.05 - 731.85
4067,LRCX,Volume,"2,912,005"
4068,LRCX,Avg. Volume,"1,349,957"
4069,LRCX,Market Cap,96.697B
4070,LRCX,Beta (5Y Monthly),1.17
4071,LRCX,PE Ratio (TTM),23.21
4072,LRCX,EPS (TTM),29.59
4073,LRCX,Earnings Date,"Jan 26, 2022"
4074,LRCX,Forward Dividend & Yield,6.00 (0.87%)
4075,LRCX,Ex-Dividend Date,"Dec 14, 2021"
4076,LRCX,1y Target Est,740.19
4077,LW,Previous Close,70.24
4078,LW,Open,70.24
4079,LW,Bid,68.50 x 800
4080,LW,Ask,70.00 x 800
4081,LW,Day's Range,67.70 - 70.68
4082,LW,52 Week Range,50.22 - 86.41
4083,LW,Volume,"2,262,662"
4084,LW,Avg. Volume,"1,859,429"
4085,LW,Market Cap,9.952B
4086,LW,Beta (5Y Monthly),0.75
4087,LW,PE Ratio (TTM),52.28
4088,LW,EPS (TTM),1.31
4089,LW,Earnings Date,"Apr 05, 2022 - Apr 11, 2022"
4090,LW,Forward Dividend & Yield,0.98 (1.40%)
4091,LW,Ex-Dividend Date,"Feb 03, 2022"
4092,LW,1y Target Est,75.50
4093,LVS,Previous Close,38.95
4094,LVS,Open,38.94
4095,LVS,Bid,37.77 x 3200
4096,LVS,Ask,37.66 x 1300
4097,LVS,Day's Range,37.60 - 39.49
4098,LVS,52 Week Range,33.75 - 66.77
4099,LVS,Volume,"6,637,018"
4100,LVS,Avg. Volume,"8,058,861"
4101,LVS,Market Cap,28.772B
4102,LVS,Beta (5Y Monthly),1.50
4103,LVS,PE Ratio (TTM),N/A
4104,LVS,EPS (TTM),-1.50
4105,LVS,Earnings Date,"Jan 25, 2022 - Jan 31, 2022"
4106,LVS,Forward Dividend & Yield,N/A (N/A)
4107,LVS,Ex-Dividend Date,"Mar 17, 2020"
4108,LVS,1y Target Est,49.23
4109,LDOS,Previous Close,91.51
4110,LDOS,Open,91.73
4111,LDOS,Bid,89.54 x 800
4112,LDOS,Ask,89.57 x 900
4113,LDOS,Day's Range,89.03 - 91.73
4114,LDOS,52 Week Range,82.75 - 113.75
4115,LDOS,Volume,"674,629"
4116,LDOS,Avg. Volume,"716,053"
4117,LDOS,Market Cap,12.59B
4118,LDOS,Beta (5Y Monthly),0.85
4119,LDOS,PE Ratio (TTM),16.55
4120,LDOS,EPS (TTM),5.42
4121,LDOS,Earnings Date,"Feb 21, 2022 - Feb 25, 2022"
4122,LDOS,Forward Dividend & Yield,1.44 (1.57%)
4123,LDOS,Ex-Dividend Date,"Dec 14, 2021"
4124,LDOS,1y Target Est,115.50
4125,LEN,Previous Close,107.73
4126,LEN,Open,107.41
4127,LEN,Bid,110.00 x 900
4128,LEN,Ask,0.00 x 800
4129,LEN,Day's Range,106.97 - 109.15
4130,LEN,52 Week Range,74.70 - 117.54
4131,LEN,Volume,"2,196,256"
4132,LEN,Avg. Volume,"2,277,077"
4133,LEN,Market Cap,32.706B
4134,LEN,Beta (5Y Monthly),1.51
4135,LEN,PE Ratio (TTM),7.56
4136,LEN,EPS (TTM),14.27
4137,LEN,Earnings Date,"Mar 14, 2022 - Mar 18, 2022"
4138,LEN,Forward Dividend & Yield,1.00 (0.93%)
4139,LEN,Ex-Dividend Date,"Oct 13, 2021"
4140,LEN,1y Target Est,131.00
4141,LLY,Previous Close,255.92
4142,LLY,Open,254.07
4143,LLY,Bid,249.14 x 1100
4144,LLY,Ask,250.42 x 1200
4145,LLY,Day's Range,248.57 - 255.41
4146,LLY,52 Week Range,178.58 - 283.90
4147,LLY,Volume,"3,701,853"
4148,LLY,Avg. Volume,"3,034,296"
4149,LLY,Market Cap,238.832B
4150,LLY,Beta (5Y Monthly),0.36
4151,LLY,PE Ratio (TTM),38.12
4152,LLY,EPS (TTM),6.55
4153,LLY,Earnings Date,"Feb 03, 2022"
4154,LLY,Forward Dividend & Yield,3.92 (1.53%)
4155,LLY,Ex-Dividend Date,"Feb 14, 2022"
4156,LLY,1y Target Est,N/A
4157,LNC,Previous Close,65.76
4158,LNC,Open,64.69
4159,LNC,Bid,62.52 x 900
4160,LNC,Ask,62.88 x 900
4161,LNC,Day's Range,61.72 - 64.69
4162,LNC,52 Week Range,44.59 - 77.57
4163,LNC,Volume,"1,412,097"
4164,LNC,Avg. Volume,"1,460,729"
4165,LNC,Market Cap,11.359B
4166,LNC,Beta (5Y Monthly),2.11
4167,LNC,PE Ratio (TTM),9.02
4168,LNC,EPS (TTM),6.97
4169,LNC,Earnings Date,"Feb 02, 2022"
4170,LNC,Forward Dividend & Yield,1.80 (2.74%)
4171,LNC,Ex-Dividend Date,"Jan 07, 2022"
4172,LNC,1y Target Est,76.83
4173,LIN,Previous Close,341.29
4174,LIN,Open,338.28
4175,LIN,Bid,332.39 x 800
4176,LIN,Ask,339.06 x 1100
4177,LIN,Day's Range,332.79 - 339.94
4178,LIN,52 Week Range,240.80 - 352.18
4179,LIN,Volume,"1,416,503"
4180,LIN,Avg. Volume,"1,457,642"
4181,LIN,Market Cap,170.891B
4182,LIN,Beta (5Y Monthly),0.84
4183,LIN,PE Ratio (TTM),49.06
4184,LIN,EPS (TTM),6.80
4185,LIN,Earnings Date,"Feb 10, 2022"
4186,LIN,Forward Dividend & Yield,4.24 (1.24%)
4187,LIN,Ex-Dividend Date,"Dec 02, 2021"
4188,LIN,1y Target Est,302.92
4189,LYV,Previous Close,114.00
4190,LYV,Open,115.29
4191,LYV,Bid,113.00 x 800
4192,LYV,Ask,113.92 x 900
4193,LYV,Day's Range,113.20 - 116.63
4194,LYV,52 Week Range,65.88 - 127.75
4195,LYV,Volume,"1,645,165"
4196,LYV,Avg. Volume,"2,329,038"
4197,LYV,Market Cap,25.582B
4198,LYV,Beta (5Y Monthly),1.31
4199,LYV,PE Ratio (TTM),N/A
4200,LYV,EPS (TTM),-4.16
4201,LYV,Earnings Date,"Feb 23, 2022 - Feb 28, 2022"
4202,LYV,Forward Dividend & Yield,N/A (N/A)
4203,LYV,Ex-Dividend Date,N/A
4204,LYV,1y Target Est,115.00
4205,LKQ,Previous Close,60.03
4206,LKQ,Open,60.26
4207,LKQ,Bid,58.50 x 1000
4208,LKQ,Ask,58.50 x 800
4209,LKQ,Day's Range,58.07 - 60.40
4210,LKQ,52 Week Range,34.55 - 60.43
4211,LKQ,Volume,"1,001,487"
4212,LKQ,Avg. Volume,"1,601,788"
4213,LKQ,Market Cap,17.084B
4214,LKQ,Beta (5Y Monthly),1.62
4215,LKQ,PE Ratio (TTM),17.06
4216,LKQ,EPS (TTM),3.44
4217,LKQ,Earnings Date,"Feb 17, 2022"
4218,LKQ,Forward Dividend & Yield,1.00 (1.69%)
4219,LKQ,Ex-Dividend Date,"Nov 09, 2021"
4220,LKQ,1y Target Est,65.89
4221,LMT,Previous Close,361.30
4222,LMT,Open,362.06
4223,LMT,Bid,364.00 x 1400
4224,LMT,Ask,364.73 x 800
4225,LMT,Day's Range,360.58 - 367.36
4226,LMT,52 Week Range,319.81 - 396.99
4227,LMT,Volume,"1,107,548"
4228,LMT,Avg. Volume,"1,652,653"
4229,LMT,Market Cap,100.712B
4230,LMT,Beta (5Y Monthly),0.93
4231,LMT,PE Ratio (TTM),16.82
4232,LMT,EPS (TTM),21.71
4233,LMT,Earnings Date,"Jan 25, 2022"
4234,LMT,Forward Dividend & Yield,11.20 (3.10%)
4235,LMT,Ex-Dividend Date,"Nov 30, 2021"
4236,LMT,1y Target Est,390.65
4237,L,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
4238,LOW,Previous Close,250.72
4239,LOW,Open,253.08
4240,LOW,Bid,250.34 x 900
4241,LOW,Ask,254.49 x 1100
4242,LOW,Day's Range,250.09 - 253.75
4243,LOW,52 Week Range,150.84 - 263.31
4244,LOW,Volume,"2,021,031"
4245,LOW,Avg. Volume,"3,335,844"
4246,LOW,Market Cap,168.908B
4247,LOW,Beta (5Y Monthly),1.29
4248,LOW,PE Ratio (TTM),21.86
4249,LOW,EPS (TTM),11.47
4250,LOW,Earnings Date,"Feb 23, 2022"
4251,LOW,Forward Dividend & Yield,3.20 (1.28%)
4252,LOW,Ex-Dividend Date,"Jan 18, 2022"
4253,LOW,1y Target Est,277.79
4254,LUMN,Previous Close,13.29
4255,LUMN,Open,12.64
4256,LUMN,Bid,12.30 x 4000
4257,LUMN,Ask,12.31 x 3100
4258,LUMN,Day's Range,12.22 - 12.70
4259,LUMN,52 Week Range,10.82 - 16.60
4260,LUMN,Volume,"35,621,949"
4261,LUMN,Avg. Volume,"10,684,831"
4262,LUMN,Market Cap,12.563B
4263,LUMN,Beta (5Y Monthly),0.98
4264,LUMN,PE Ratio (TTM),N/A
4265,LUMN,EPS (TTM),-0.71
4266,LUMN,Earnings Date,"Feb 09, 2022"
4267,LUMN,Forward Dividend & Yield,1.00 (7.52%)
4268,LUMN,Ex-Dividend Date,"Nov 26, 2021"
4269,LUMN,1y Target Est,11.30
4270,LYB,Previous Close,97.80
4271,LYB,Open,98.69
4272,LYB,Bid,97.87 x 900
4273,LYB,Ask,0.00 x 800
4274,LYB,Day's Range,97.21 - 99.41
4275,LYB,52 Week Range,84.06 - 118.02
4276,LYB,Volume,"1,673,234"
4277,LYB,Avg. Volume,"2,207,676"
4278,LYB,Market Cap,33.055B
4279,LYB,Beta (5Y Monthly),1.47
4280,LYB,PE Ratio (TTM),5.80
4281,LYB,EPS (TTM),17.12
4282,LYB,Earnings Date,"Jan 27, 2022 - Jan 31, 2022"
4283,LYB,Forward Dividend & Yield,4.52 (4.62%)
4284,LYB,Ex-Dividend Date,"Nov 26, 2021"
4285,LYB,1y Target Est,111.15
4286,MTB,Previous Close,179.53
4287,MTB,Open,182.22
4288,MTB,Bid,182.97 x 1400
4289,MTB,Ask,183.02 x 900
4290,MTB,Day's Range,181.07 - 184.78
4291,MTB,52 Week Range,128.46 - 184.78
4292,MTB,Volume,"1,861,383"
4293,MTB,Avg. Volume,"998,209"
4294,MTB,Market Cap,23.576B
4295,MTB,Beta (5Y Monthly),1.08
4296,MTB,PE Ratio (TTM),13.14
4297,MTB,EPS (TTM),13.95
4298,MTB,Earnings Date,"Jan 20, 2022"
4299,MTB,Forward Dividend & Yield,4.80 (2.67%)
4300,MTB,Ex-Dividend Date,"Nov 29, 2021"
4301,MTB,1y Target Est,180.86
4302,MRO,Previous Close,18.71
4303,MRO,Open,18.65
4304,MRO,Bid,18.56 x 3200
4305,MRO,Ask,18.59 x 2900
4306,MRO,Day's Range,18.48 - 19.12
4307,MRO,52 Week Range,7.20 - 19.12
4308,MRO,Volume,"20,064,925"
4309,MRO,Avg. Volume,"16,712,888"
4310,MRO,Market Cap,14.457B
4311,MRO,Beta (5Y Monthly),3.02
4312,MRO,PE Ratio (TTM),N/A
4313,MRO,EPS (TTM),-0.05
4314,MRO,Earnings Date,"Feb 16, 2022"
4315,MRO,Forward Dividend & Yield,0.24 (1.28%)
4316,MRO,Ex-Dividend Date,"Nov 16, 2021"
4317,MRO,1y Target Est,20.67
4318,MPC,Previous Close,73.08
4319,MPC,Open,73.34
4320,MPC,Bid,72.97 x 900
4321,MPC,Ask,74.74 x 800
4322,MPC,Day's Range,72.86 - 74.14
4323,MPC,52 Week Range,42.32 - 74.14
4324,MPC,Volume,"5,422,175"
4325,MPC,Avg. Volume,"6,340,177"
4326,MPC,Market Cap,45.012B
4327,MPC,Beta (5Y Monthly),2.08
4328,MPC,PE Ratio (TTM),5.13
4329,MPC,EPS (TTM),14.25
4330,MPC,Earnings Date,"Feb 02, 2022"
4331,MPC,Forward Dividend & Yield,2.32 (3.17%)
4332,MPC,Ex-Dividend Date,"Nov 16, 2021"
4333,MPC,1y Target Est,77.53
4334,MKTX,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
4335,MAR,Previous Close,164.86
4336,MAR,Open,164.94
4337,MAR,Bid,164.11 x 1100
4338,MAR,Ask,164.37 x 900
4339,MAR,Day's Range,164.10 - 167.30
4340,MAR,52 Week Range,115.50 - 171.68
4341,MAR,Volume,"1,516,863"
4342,MAR,Avg. Volume,"2,060,130"
4343,MAR,Market Cap,53.578B
4344,MAR,Beta (5Y Monthly),1.76
4345,MAR,PE Ratio (TTM),115.20
4346,MAR,EPS (TTM),1.43
4347,MAR,Earnings Date,"Feb 16, 2022 - Feb 21, 2022"
4348,MAR,Forward Dividend & Yield,N/A (N/A)
4349,MAR,Ex-Dividend Date,"Feb 27, 2020"
4350,MAR,1y Target Est,164.42
4351,MMC,Previous Close,166.69
4352,MMC,Open,166.81
4353,MMC,Bid,160.68 x 900
4354,MMC,Ask,164.04 x 800
4355,MMC,Day's Range,163.13 - 167.12
4356,MMC,52 Week Range,106.95 - 175.12
4357,MMC,Volume,"2,798,892"
4358,MMC,Avg. Volume,"1,816,879"
4359,MMC,Market Cap,82.707B
4360,MMC,Beta (5Y Monthly),0.93
4361,MMC,PE Ratio (TTM),30.97
4362,MMC,EPS (TTM),5.29
4363,MMC,Earnings Date,"Jan 27, 2022"
4364,MMC,Forward Dividend & Yield,2.14 (1.31%)
4365,MMC,Ex-Dividend Date,"Oct 07, 2021"
4366,MMC,1y Target Est,178.92
4367,MLM,Previous Close,440.52
4368,MLM,Open,441.95
4369,MLM,Bid,441.62 x 800
4370,MLM,Ask,442.11 x 1300
4371,MLM,Day's Range,437.05 - 445.74
4372,MLM,52 Week Range,274.64 - 445.74
4373,MLM,Volume,"214,311"
4374,MLM,Avg. Volume,"308,690"
4375,MLM,Market Cap,27.53B
4376,MLM,Beta (5Y Monthly),0.70
4377,MLM,PE Ratio (TTM),37.88
4378,MLM,EPS (TTM),11.65
4379,MLM,Earnings Date,"Feb 07, 2022 - Feb 11, 2022"
4380,MLM,Forward Dividend & Yield,2.44 (0.55%)
4381,MLM,Ex-Dividend Date,"Nov 30, 2021"
4382,MLM,1y Target Est,443.38
4383,MAS,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
4384,MA,Previous Close,367.31
4385,MA,Open,368.61
4386,MA,Bid,369.46 x 900
4387,MA,Ask,370.00 x 1000
4388,MA,Day's Range,368.17 - 377.61
4389,MA,52 Week Range,306.00 - 401.50
4390,MA,Volume,"3,887,753"
4391,MA,Avg. Volume,"5,070,253"
4392,MA,Market Cap,363.074B
4393,MA,Beta (5Y Monthly),1.14
4394,MA,PE Ratio (TTM),45.45
4395,MA,EPS (TTM),8.13
4396,MA,Earnings Date,"Jan 27, 2022"
4397,MA,Forward Dividend & Yield,1.96 (0.54%)
4398,MA,Ex-Dividend Date,"Jan 06, 2022"
4399,MA,1y Target Est,429.64
4400,MTCH,Previous Close,124.08
4401,MTCH,Open,128.80
4402,MTCH,Bid,122.69 x 800
4403,MTCH,Ask,123.15 x 900
4404,MTCH,Day's Range,122.58 - 128.87
4405,MTCH,52 Week Range,118.51 - 182.00
4406,MTCH,Volume,"2,576,916"
4407,MTCH,Avg. Volume,"2,686,526"
4408,MTCH,Market Cap,34.876B
4409,MTCH,Beta (5Y Monthly),N/A
4410,MTCH,PE Ratio (TTM),65.39
4411,MTCH,EPS (TTM),1.88
4412,MTCH,Earnings Date,"Feb 01, 2022"
4413,MTCH,Forward Dividend & Yield,N/A (N/A)
4414,MTCH,Ex-Dividend Date,"Nov 10, 2015"
4415,MTCH,1y Target Est,172.89
4416,MKC,Previous Close,96.04
4417,MKC,Open,96.12
4418,MKC,Bid,94.44 x 800
4419,MKC,Ask,94.48 x 800
4420,MKC,Day's Range,93.68 - 96.19
4421,MKC,52 Week Range,77.85 - 98.80
4422,MKC,Volume,"1,412,925"
4423,MKC,Avg. Volume,"1,328,657"
4424,MKC,Market Cap,25.208B
4425,MKC,Beta (5Y Monthly),0.48
4426,MKC,PE Ratio (TTM),33.43
4427,MKC,EPS (TTM),2.82
4428,MKC,Earnings Date,"Jan 27, 2022"
4429,MKC,Forward Dividend & Yield,1.48 (1.54%)
4430,MKC,Ex-Dividend Date,"Dec 30, 2021"
4431,MKC,1y Target Est,88.96
4432,MCD,Previous Close,260.92
4433,MCD,Open,261.41
4434,MCD,Bid,261.15 x 1100
